school,age,guardian,traveltime,studytime,failures,internet,absences,G1,G2,G3
GP,18,mother,2,2,0,no,4,0,11,11
GP,17,father,1,2,0,yes,2,9,11,11
GP,15,mother,1,2,0,yes,6,12,13,12
GP,15,mother,1,3,0,yes,0,14,14,14
GP,16,father,1,2,0,no,0,11,13,13
GP,16,mother,1,2,0,yes,6,12,12,13
GP,16,mother,1,2,0,yes,0,13,12,13
GP,17,mother,2,2,0,no,2,10,13,13
GP,15,mother,1,2,0,yes,0,15,16,17
GP,15,mother,1,2,0,yes,0,12,12,13
GP,15,mother,1,2,0,yes,2,14,14,14
GP,15,father,3,3,0,yes,0,10,12,13
GP,15,father,1,1,0,yes,0,12,13,12
GP,15,mother,2,2,0,yes,0,12,12,13
GP,15,other,1,3,0,yes,0,14,14,15
GP,16,mother,1,1,0,yes,6,17,17,17
GP,16,mother,1,3,0,yes,10,13,13,14
GP,16,mother,3,2,0,no,2,13,14,14
GP,17,mother,1,1,3,yes,2,8,8,7
GP,16,father,1,1,0,yes,6,12,12,12
GP,15,mother,1,2,0,yes,0,12,13,14
GP,15,father,1,1,0,yes,0,11,12,12
GP,16,mother,1,2,0,yes,0,12,13,14
GP,16,mother,2,2,0,yes,2,10,10,10
GP,15,mother,1,3,0,yes,2,10,11,10
GP,16,mother,1,1,0,yes,6,10,11,12
GP,15,mother,1,1,0,yes,8,11,12,12
GP,15,mother,1,1,0,yes,0,11,11,11
GP,16,mother,1,2,0,yes,2,12,12,13
GP,16,mother,1,2,0,yes,4,12,11,12
GP,15,mother,1,2,0,yes,0,10,11,11
GP,15,mother,2,2,0,yes,2,15,15,15
GP,15,mother,1,2,0,yes,0,13,14,15
GP,15,mother,1,2,0,yes,0,13,12,12
GP,16,mother,1,1,0,yes,4,12,12,12
GP,15,father,2,1,0,no,4,11,11,11
GP,15,mother,1,3,0,yes,0,14,14,14
GP,16,mother,2,3,0,yes,4,13,13,13
GP,15,mother,1,3,0,yes,2,11,12,12
GP,15,mother,1,1,0,no,8,14,13,12
GP,16,mother,2,2,0,yes,16,11,11,10
GP,15,other,1,1,0,yes,8,10,11,11
GP,15,father,1,2,0,yes,0,14,15,15
GP,15,father,1,1,0,yes,0,9,10,10
GP,16,father,2,2,1,yes,14,10,11,11
GP,15,mother,1,2,0,yes,4,10,11,11
GP,16,mother,1,2,0,yes,6,13,12,13
GP,16,mother,1,4,0,yes,2,17,17,17
GP,15,mother,1,2,0,no,4,11,12,13
GP,15,father,1,2,0,yes,2,13,12,12
GP,16,mother,3,2,0,yes,0,14,13,13
GP,15,mother,1,2,0,yes,0,16,14,16
GP,15,father,2,1,0,no,4,10,9,9
GP,15,mother,1,1,0,yes,0,13,12,12
GP,15,mother,1,1,0,yes,0,13,12,13
GP,16,mother,1,2,0,yes,2,12,13,12
GP,15,mother,1,2,0,yes,0,15,14,15
GP,15,mother,1,2,0,no,8,15,15,16
GP,15,father,1,2,0,yes,0,14,13,14
GP,16,mother,1,2,0,yes,2,16,15,16
GP,16,mother,1,2,0,no,0,17,16,16
GP,16,father,4,1,0,yes,0,10,10,16
GP,16,father,1,2,0,yes,0,13,13,10
GP,16,mother,1,3,0,yes,0,14,13,13
GP,15,father,1,2,0,yes,0,13,12,12
GP,16,mother,3,2,0,yes,2,16,15,16
GP,15,mother,1,4,0,yes,0,11,12,12
GP,16,mother,1,4,0,yes,0,10,9,10
GP,15,mother,2,2,0,yes,0,11,10,11
GP,15,father,2,4,0,yes,6,15,15,15
GP,16,father,2,4,0,yes,2,13,11,11
GP,15,mother,1,4,0,yes,0,11,9,10
GP,15,mother,1,2,0,yes,2,13,11,11
GP,16,mother,1,1,0,no,0,13,13,14
GP,16,mother,1,2,0,yes,4,11,11,11
GP,15,mother,1,2,0,yes,0,11,11,11
GP,15,mother,2,4,0,yes,0,12,11,11
GP,16,mother,1,4,0,yes,1,13,13,13
GP,17,mother,2,1,3,yes,0,9,9,10
GP,16,mother,1,2,0,yes,14,12,11,11
GP,15,father,1,1,0,yes,0,11,11,12
GP,15,mother,1,3,0,yes,2,10,9,9
GP,15,mother,1,2,0,yes,4,12,11,11
GP,15,mother,2,2,0,yes,2,13,12,13
GP,15,father,1,2,0,yes,2,13,12,12
GP,15,father,2,2,0,yes,4,12,11,12
GP,16,mother,1,2,0,no,6,13,11,11
GP,15,mother,1,3,0,yes,4,15,15,15
GP,16,father,2,2,0,yes,6,12,10,11
GP,16,mother,1,2,0,no,6,9,9,10
GP,16,mother,1,3,0,yes,2,9,11,11
GP,15,mother,1,1,0,yes,6,14,13,13
GP,16,father,1,2,0,no,0,12,13,12
GP,16,mother,2,2,0,yes,2,13,14,14
GP,15,mother,1,4,0,yes,2,11,12,12
GP,15,mother,2,4,0,yes,4,13,13,13
GP,16,mother,2,1,0,yes,6,9,11,11
GP,16,mother,1,2,0,no,0,13,12,12
GP,16,mother,1,1,0,yes,4,12,13,13
GP,16,mother,1,3,0,yes,2,12,13,13
GP,16,mother,1,1,0,yes,12,9,9,8
GP,16,father,1,3,0,yes,0,16,16,16
GP,15,mother,1,1,0,yes,2,12,13,12
GP,15,mother,2,2,0,yes,16,11,10,10
GP,15,mother,1,2,0,yes,0,16,16,16
GP,15,father,1,4,0,no,10,10,10,10
GP,15,mother,1,4,0,yes,4,10,10,10
GP,16,father,1,3,0,yes,4,13,14,14
GP,15,father,4,4,0,yes,8,12,10,11
GP,16,mother,1,3,0,yes,2,15,15,14
GP,15,mother,1,1,0,yes,4,13,14,14
GP,16,father,1,3,0,yes,4,11,11,11
GP,16,mother,1,2,1,yes,12,8,10,10
GP,15,mother,1,1,0,yes,10,18,17,18
GP,15,mother,1,2,0,yes,4,10,9,10
GP,16,father,1,2,0,yes,6,16,14,14
GP,15,father,2,2,0,no,4,16,15,16
GP,16,father,2,1,0,yes,6,14,14,15
GP,17,father,3,2,1,yes,14,12,11,11
GP,15,father,1,1,0,yes,2,14,13,14
GP,15,mother,1,2,0,yes,0,14,14,14
GP,15,father,1,4,0,yes,6,14,13,13
GP,16,father,2,2,0,yes,2,14,12,13
GP,16,mother,1,1,0,yes,4,12,13,13
GP,16,mother,1,2,0,yes,0,12,11,11
GP,15,father,1,1,0,yes,2,9,9,9
GP,15,mother,1,2,0,yes,0,10,11,11
GP,19,other,1,2,2,no,0,9,10,11
GP,16,mother,1,1,0,yes,8,14,14,15
